city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Portland,OR,97209,1260-NW-Naito-Pkwy-UNIT-805B,"Residential, condominium",Built in 2007,"Heat pump, hot water",Central air,1 Attached garage space,0,"$1,088 monthly HOA fee",$410 price/sqft,2.5% buyers agency fee,650000
Portland,OR,97266,9804-SE-Pardee-St,"Residential, single family residence",Built in 1955,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"7,840 sqft",$310 price/sqft,2.5% buyers agency fee,434950
Portland,OR,97201,2728-SW-Montgomery-Dr,"Residential, single family residence",Built in 1909,"Forced air, fireplace(s), mini split",Wall unit(s),1 Garage space,0,"5,227 sqft",$206 price/sqft,2.5% buyers agency fee,500000
Portland,OR,97203,4040-N-Juneau-St,"Residential, single family residence",Built in 1985,"Forced air 90, fireplace(s)",Heat pump,2 Attached garage spaces,0,"6,534 sqft",$394 price/sqft,2.5% buyers agency fee,489000
Portland,OR,97209,636-NW-11th-Ave,"Residential, townhouse",Built in 1908,"Forced air 95 plus, fireplace(s)",Central air,1 Garage space,0,"2,178 sqft",$613 price/sqft,2.5% buyers agency fee,1225000
Portland,OR,97206,4525-SE-Clinton-St,"Residential, single family residence",Built in 1930,"Forced air, fireplace(s)",No data,1 Garage space,0,"4,791 sqft",$311 price/sqft,2.5% buyers agency fee,719000
Portland,OR,97201,1837-SW-Elm-St-APT-1,"Residential, condominium",Built in 1917,"Baseboard, fireplace(s)",None,2 Garage spaces,0,$665 monthly HOA fee,$432 price/sqft,2.5% buyers agency fee,720000
Portland,OR,97203,8905-N-Dwight-Ave,"Residential, single family residence",Built in 2007,"Forced air, zoned",No data,No data,$117 monthly HOA fee,"2,613 sqft",$257 price/sqft,2.5% buyers agency fee,369900
Portland,OR,97201,2629-SW-Davenport-Ln,"Residential, single family residence",Built in 1957,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,0.32 Acres,$311 price/sqft,2.5% buyers agency fee,1050000
Portland,OR,97225,10124-SW-Windwood-Way,"Residential, townhouse",Built in 2006,"Forced air, other, fireplace(s)",Central air,2 Attached garage spaces,$392 monthly HOA fee,"1,306 sqft",$335 price/sqft,2.5% buyers agency fee,710000
Portland,OR,97210,1333-NW-24th-Ave,"Residential, single family residence",Built in 1904,"Forced air 95 plus, fireplace(s)",Central air,Open parking,0,"6,534 sqft",$336 price/sqft,2.5% buyers agency fee,1989000
Portland,OR,97236,13246-SE-Raymond-St,"Residential, single family residence",Built in 1949,"Wall furnace, zoned",None,Open parking,0,0.45 Acres,$325 price/sqft,2.5% buyers agency fee,320000
Portland,OR,97206,5119-SE-68th-Ave,"Residential, single family residence",Built in 1952,"Baseboard, wall furnace",None,1 Garage space,0,"7,405 sqft",$215 price/sqft,2.5% buyers agency fee,395000
Portland,OR,97203,8229-N-Fiske-Ave,"Residential, single family residence",Built in 2010,"Forced air 90, fireplace(s)",Heat pump,1 Garage space,0,"3,920 sqft",$282 price/sqft,2.5% buyers agency fee,675000
Portland,OR,97229,15120-NW-Aberdeen-Dr,"Residential, single family residence",Built in 1999,"Forced air, heat pump, fireplace(s)",Central air,2 Attached garage spaces,"$2,818 annually HOA fee","6,098 sqft",$461 price/sqft,2.5% buyers agency fee,847000
Portland,OR,97206,4329-SE-Division-St-UNIT-A,"Residential, condominium",Built in 2012,Heat pump,Heat pump,Open parking,0,$172 monthly HOA fee,$612 price/sqft,2.5% buyers agency fee,205000
Portland,OR,97211,6717-NE-13th-Ave,"Residential, single family residence",Built in 1999,"Forced air, fireplace(s)",No data,2 Attached garage spaces,0,"3,920 sqft",$353 price/sqft,2.5% buyers agency fee,450000
Portland,OR,97217,205-N-Bridgeton-Rd-SLIP-6,Residential,Built in 2021,"Ductless, energy star qualified equipment, mini split",Energy star qualified equipment,"Deeded, off street",$841 monthly HOA fee,No data,$330 price/sqft,2.5% buyers agency fee,264000
Portland,OR,97203,8437-N-Bliss-St,"Residential, single family residence",Built in 2004,"Heat pump, mini split",Heat pump,Off street,0,"3,920 sqft",$397 price/sqft,2.25% buyers agency fee,375000
Portland,OR,97217,11636-N-Island-Cove-Ln,Residential,Built in 1993,Zoned,No data,Secured,"$1,538 monthly HOA fee",No data,$236 price/sqft,2.5% buyers agency fee,199900
Portland,OR,97230,547-NE-128th-Ave,Residential,Built in 1969,Radiant,None,Open parking,0,"2,613 sqft",$258 price/sqft,2.25% buyers agency fee,265000
Portland,OR,97236,3317-SE-122nd-Ave-SUITE-4,"Residential, condominium",Built in 2007,"Mini split, zoned",No data,Carport,0,$150 monthly HOA fee,$246 price/sqft,2% buyers agency fee,199900
Portland,OR,97217,7816-N-Montana-Ave,"Residential, single family residence",Built in 1927,Ductless,Heat pump,1 Garage space,0,"3,484 sqft",$284 price/sqft,2.25% buyers agency fee,489900
Portland,OR,97205,1221-SW-10th-Ave-UNIT-705,"Residential, condominium",Built in 2006,"Forced air, heat pump, fireplace(s)",Central air,2 Attached garage spaces,0,"$1,303 monthly HOA fee",$443 price/sqft,2.25% buyers agency fee,949000
Portland,OR,97201,1941-SW-Montgomery-Pl,"Residential, single family residence",Built in 1991,Forced air,Central air,2 Garage spaces,0,0.49 Acres,$501 price/sqft,2.25% buyers agency fee,1600000
Portland,OR,97220,10045-NE-Shaver-St,"Residential, single family residence",Built in 1941,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,0.33 Acres,$233 price/sqft,2.5% buyers agency fee,695000
Portland,OR,97231,11390-NW-Skyline-Blvd,"Residential, single family residence",Built in 1924,Forced air,No data,2 Garage spaces,0,2.75 Acres,$218 price/sqft,2.5% buyers agency fee,575000
Portland,OR,97229,13147-NW-Cheerio-Dr,"Residential, single family residence",Built in 1973,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,1.81 Acres,$333 price/sqft,2.5% buyers agency fee,1200000
Portland,OR,97205,2331-SW-Cactus-Dr,"Residential, single family residence",Built in 1917,"Forced air, fireplace(s)",Central air,Off street,0,"6,534 sqft",$281 price/sqft,2% buyers agency fee,1750000
Portland,OR,97239,5925-SW-Terwilliger-Blvd,"Residential, single family residence",Built in 1928,"Forced air 95 plus, fireplace(s)",Central air,Open parking,0,0.30 Acres,$159 price/sqft,2.5% buyers agency fee,795000
Portland,OR,97214,1816-SE-12th-Ave,"Residential, single family residence",Built in 1943,"Forced air, fireplace(s)",Central air,1 Garage space,0,"6,098 sqft",$215 price/sqft,2.5% buyers agency fee,639000
Portland,OR,97219,3835-SW-Canby-St,"Residential, condominium, townhouse",Built in 1974,"Baseboard, wall furnace, zoned, fireplace(s)",Wall unit(s),2 Garage spaces,$645 monthly HOA fee,No data,$292 price/sqft,2.5% buyers agency fee,405000
Portland,OR,97203,7107-N-John-Ave,"Residential, condominium",Built in 2004,Wall furnace,None,No data,0,$40 monthly HOA fee,$298 price/sqft,2.5% buyers agency fee,280000
Portland,OR,97203,10540-N-Midway-Ave,"Residential, single family residence",Built in 1980,"Mini split, fireplace(s)",Wall unit(s),1 Garage space,0,"8,276 sqft",$251 price/sqft,2.5% buyers agency fee,575000
Portland,OR,97219,8603-SW-17th-Ave,"Residential, single family residence",Built in 1942,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"5,227 sqft",$282 price/sqft,2.5% buyers agency fee,683500
Portland,OR,97217,5025-N-Minnesota-Ave-301,"Residential, condominium",Built in 2018,"Heat pump, mini split",Heat pump,Open parking,0,$324 monthly HOA fee,$383 price/sqft,2.5% buyers agency fee,350000
Portland,OR,97236,2841-SE-174th-Ave,"Residential, single family residence",Built in 1946,"Forced air, fireplace(s)",No data,Open parking,0,"7,840 sqft",$114 price/sqft,2.25% buyers agency fee,399985
Portland,OR,97202,1717-SE-Bidwell-St,Single family residence,Built in 1915,"Electric, forced air",No data,2 Garage spaces,0,"4,791 sqft",$288 price/sqft,2.25% buyers agency fee,550000
Portland,OR,97211,7012-NE-10th-Ave-3,"Residential, condominium, townhouse",Built in 2023,"Heat pump, mini split",Heat pump,No data,0,No data,$403 price/sqft,2.5% buyers agency fee,329900
Portland,OR,97210,2129-NW-Northrup-St-APT-4,"Residential, condominium",Built in 1905,Baseboard,None,Open parking,0,$455 monthly HOA fee,$343 price/sqft,2.5% buyers agency fee,365000
Portland,OR,97239,3025-SW-11th-Ave,"Residential, single family residence",Built in 1948,Forced air,None,1 Garage space,0,"5,227 sqft",$397 price/sqft,2.25% buyers agency fee,515000
Portland,OR,97211,3409-NE-Lombard-Ct,"Residential, single family residence",Built in 1948,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"7,405 sqft",$290 price/sqft,2.5% buyers agency fee,640000
Portland,OR,97203,4621-N-Willamette-Blvd,"Residential, single family residence",Built in 1944,Forced air,Central air,Open parking,0,"5,662 sqft",$289 price/sqft,2.5% buyers agency fee,592500
Portland,OR,97209,420-NW-11th-Ave-UNIT-611,"Residential, condominium",Built in 2001,Forced air,Central air,1 Attached garage space,0,$357 monthly HOA fee,$403 price/sqft,2.5% buyers agency fee,310000
Portland,OR,97229,12606-NW-Barnes-Rd-APT-5,"Residential, condominium",Built in 1979,Baseboard,None,Off street,0,$411 monthly HOA fee,$323 price/sqft,2.5% buyers agency fee,192500
Portland,OR,97229,1940-NW-143rd-Ave-85,"Residential, condominium",Built in 1992,Mini split,Other,Deeded,0,$325 monthly HOA fee,$439 price/sqft,2.5% buyers agency fee,275000
Portland,OR,97227,3219-N-Kerby-Ave,"Residential, condominium, townhouse",Built in 2000,Forced air,No data,Open parking,$293 monthly HOA fee,No data,$325 price/sqft,2.5% buyers agency fee,345000
Portland,OR,97209,1001-NW-Lovejoy-St-UNIT-809,"Residential, condominium",Built in 2006,"Forced air, heat pump, fireplace(s)",Central air,1 Attached garage space,0,$900 monthly HOA fee,$499 price/sqft,2.5% buyers agency fee,625000
Portland,OR,97231,8919-NW-Mills-St,"Residential, single family residence",Built in 1994,"Energy star qualified equipment, forced air, heat pump","Central air, energy star qualified equipment",Carport,0,0.53 Acres,$402 price/sqft,2.5% buyers agency fee,759900
Portland,OR,97206,4190-SE-52nd-Ave,"Residential, condominium",Built in 2023,"Ductless, energy star qualified equipment, fireplace(s)",Heat exchanger,Open parking,0,$225 monthly HOA fee,$592 price/sqft,2.5% buyers agency fee,380000
Portland,OR,97266,4622-SE-87th-Ave,"Residential, single family residence",Built in 1911,"Baseboard, wall furnace",None,Carport,0,"3,920 sqft",$362 price/sqft,2.5% buyers agency fee,249000
Portland,OR,97213,7920-NE-Schuyler-St,"Residential, single family residence",Built in 2019,"Forced air 95 plus, fireplace(s)",Central air,1 Attached garage space,0,"2,613 sqft",$261 price/sqft,2.5% buyers agency fee,559900
Portland,OR,97202,1205-SE-Marion-St,"Residential, single family residence",Built in 1922,Forced air,None,1 Garage space,0,"5,227 sqft",$336 price/sqft,2.25% buyers agency fee,768000
Portland,OR,97219,9939-SW-35th-Ave,"Residential, single family residence",Built in 1943,Forced air,None,Open parking,0,0.71 Acres,$476 price/sqft,2.5% buyers agency fee,655000
Portland,OR,97202,7026-SE-17th-Ave,"Residential, single family residence",Built in 1921,"Forced air, fireplace(s)",Central air,1 Garage space,0,"4,791 sqft",$412 price/sqft,2.25% buyers agency fee,775000
Portland,OR,97227,3723-N-Missouri-Ave,"Residential, single family residence",Built in 1888,Forced air,None,Open parking,0,"6,098 sqft",$299 price/sqft,2.5% buyers agency fee,650000
Portland,OR,97212,14-NE-Stanton-St,"Residential, condominium, townhouse",Built in 2014,"Forced air, fireplace(s)",No data,Open parking,0,No data,$298 price/sqft,2.5% buyers agency fee,499999
Portland,OR,97217,843-N-Holland-St,"Residential, single family residence",Built in 1912,Forced air,No data,1 Garage space,0,"3,920 sqft",$280 price/sqft,2.25% buyers agency fee,399500
Portland,OR,97217,530-NE-Tomahawk-Island-Dr-A4,Residential,Built in 1940,None,No data,1 Garage space,0,No data,$37 price/sqft,3% buyers agency fee,49000
Portland,OR,97266,6419-SE-86th-Ave,"Residential, single family residence",Built in 1910,Forced air,No data,2 Garage spaces,0,"5,227 sqft",$158 price/sqft,2.5% buyers agency fee,285000
Portland,OR,97206,7610-SE-69th-Ave,"Residential, single family residence",Built in 1954,Forced air,None,Open parking,0,"5,227 sqft",$351 price/sqft,2.25% buyers agency fee,359950
Portland,OR,97230,3723-NE-152nd-Ave,"Residential, single family residence",Built in 1952,"Forced air, fireplace(s)",Central air,Open parking,0,"7,840 sqft",$229 price/sqft,2.5% buyers agency fee,525000
Portland,OR,97210,294-NW-Macleay-Blvd,"Residential, single family residence",Built in 1925,"Radiant, fireplace(s)",No data,2 Attached garage spaces,0,"6,969 sqft",$420 price/sqft,2.5% buyers agency fee,1299999
Portland,OR,97215,2353-SE-58th-Ave,"Residential, single family residence",Built in 1922,"Forced air, fireplace(s)",No data,1 Garage space,0,"4,791 sqft",$310 price/sqft,2.25% buyers agency fee,665000
Portland,OR,97209,606-NW-Naito-Pkwy-APT-A22,"Residential, condominium",Built in 1982,"Forced air, mini split",Central air,Deeded,0,$482 monthly HOA fee,$340 price/sqft,2.5% buyers agency fee,249800
Portland,OR,97209,327-NW-Park-Ave-APT-2D,"Residential, condominium",Built in 2001,Forced air,Heat pump,Open parking,0,$468 monthly HOA fee,$321 price/sqft,2.5% buyers agency fee,234500
Portland,OR,97266,5714-SE-88th-Ave,"Residential, single family residence",Built in 1910,None,None,2 Garage spaces,0,"4,356 sqft",$196 price/sqft,2.25% buyers agency fee,335000
Portland,OR,97212,2131-NE-11th-Ave,"Residential, single family residence",Built in 1924,"Forced air 90, fireplace(s)",No data,1 Garage space,0,"3,920 sqft",$278 price/sqft,2.5% buyers agency fee,699000
Portland,OR,97215,1229-SE-72nd-Ave,"Residential, single family residence",Built in 1941,"Forced air 95 plus, fireplace(s)",Central air,1 Garage space,0,"5,227 sqft",$422 price/sqft,2.5% buyers agency fee,1250000
Portland,OR,97206,4011-SE-65th-Ave,"Residential, single family residence",Built in 1907,Forced air,Central air,1 Garage space,0,"6,098 sqft",$194 price/sqft,2.5% buyers agency fee,384900
Portland,OR,97225,7732-SW-Barnes-Rd-UNIT-D,"Residential, condominium",Built in 1977,"Mini split, fireplace(s)",Heat pump,Carport,0,$525 monthly HOA fee,$314 price/sqft,2.25% buyers agency fee,255000
Portland,OR,97206,5573-SE-56th-Ave,"Residential, condominium",Built in 2023,Mini split,Heat pump,Open parking,0,$47 monthly HOA fee,$352 price/sqft,2.7% buyers agency fee,369500
Portland,OR,97212,2136-NE-11th-Ave,"Residential, single family residence",Built in 1911,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"2,613 sqft",$333 price/sqft,2.5% buyers agency fee,775000
Portland,OR,97229,2080-NW-133rd-Pl,"Residential, single family residence",Built in 1991,"Forced air 90, fireplace(s)",Central air,3 Attached garage spaces,0,1.03 Acres,$668 price/sqft,2.5% buyers agency fee,4200000
Portland,OR,97203,7820-N-Van-Houten-Ave,"Residential, single family residence",Built in 1909,Forced air 95 plus,No data,Open parking,0,"7,405 sqft",$246 price/sqft,2.25% buyers agency fee,569989
Portland,OR,97232,2903-NE-Couch-St,"Residential, single family residence",Built in 1909,"Energy star qualified equipment, forced air 95 plus",Central air,1 Garage space,0,871.20 Sqft,$543 price/sqft,2.25% buyers agency fee,459000
Portland,OR,97266,4535-SE-87th-Ave,"Residential, single family residence",Built in 1986,Forced air,No data,2 Attached garage spaces,0,"4,791 sqft",$349 price/sqft,2.25% buyers agency fee,399000
Portland,OR,97215,1944-SE-51st-Ave,"Residential, single family residence",Built in 1880,"Forced air 90, fireplace(s)",Central air,1 Garage space,0,"7,405 sqft",$272 price/sqft,2.5% buyers agency fee,925000
Portland,OR,97206,3517-SE-67th-Ave,"Residential, single family residence",Built in 1959,"Forced air, fireplace(s)",Central air,1 Garage space,0,"3,920 sqft",$418 price/sqft,2.5% buyers agency fee,399000
Portland,OR,97233,2076-SE-145th-Ave,"Residential, single family residence",Built in 1956,Forced air,No data,Carport,0,"6,969 sqft",$233 price/sqft,2.25% buyers agency fee,399990
Portland,OR,97203,4764-N-Syracuse-St,"Residential, single family residence",Built in 1896,"Forced air, fireplace(s)",Central air,Open parking,0,"4,791 sqft",$330 price/sqft,2.5% buyers agency fee,559000
Portland,OR,97214,1932-SE-26th-Ave,"Residential, single family residence",Built in 1912,"Forced air 95 plus, fireplace(s)",No data,Open parking,0,"4,791 sqft",$244 price/sqft,2.5% buyers agency fee,799900
Portland,OR,97203,9537-N-Van-Houten-Ave,"Residential, single family residence",Built in 1924,Forced air,No data,2 Garage spaces,0,"6,534 sqft",$353 price/sqft,2.25% buyers agency fee,450000
Portland,OR,97212,2336-NE-22nd-Ave,"Residential, single family residence",Built in 1910,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"5,227 sqft",$446 price/sqft,2.5% buyers agency fee,1795000
Portland,OR,97221,4775-SW-Julia-St,"Residential, single family residence",Built in 1972,"Baseboard, fireplace(s)",Wall unit(s),2 Attached garage spaces,0,"7,405 sqft",$381 price/sqft,2.5% buyers agency fee,495000
Portland,OR,97232,1526-NE-24th-Ave-APT-2,"Residential, condominium",Built in 1927,Radiant,None,Open parking,0,$559 monthly HOA fee,$391 price/sqft,2.5% buyers agency fee,243000
Portland,OR,97203,5425-N-Syracuse-St,"Residential, single family residence",Built in 1952,"Forced air, fireplace(s)",Window unit(s),1 Attached garage space,0,No data,$359 price/sqft,2.25% buyers agency fee,499000
Portland,OR,97266,8419-SE-Woodstock-Blvd,"Residential, single family residence",Built in 1952,Forced air,No data,Open parking,0,"7,405 sqft",$224 price/sqft,2.25% buyers agency fee,638000
Portland,OR,97213,5375-NE-Everett-St-2,"Residential, condominium, townhouse",Built in 2023,Mini split,Heat pump,No data,$40 monthly HOA fee,No data,$405 price/sqft,2.5% buyers agency fee,329900
Portland,OR,97201,2445-SW-Montgomery-Dr,"Residential, single family residence",Built in 1985,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,0.87 Acres,$456 price/sqft,2.25% buyers agency fee,729500
Portland,OR,97206,5270-SE-Lafayette-St-6,"Residential, condominium, townhouse",Built in 2023,Mini split,Heat pump,No data,$32 monthly HOA fee,No data,$372 price/sqft,2.5% buyers agency fee,329900
Portland,OR,97203,7006-N-Portsmouth-Ave,"Residential, single family residence",Built in 1924,Forced air,No data,2 Garage spaces,0,"5,662 sqft",$208 price/sqft,2.5% buyers agency fee,599000
Portland,OR,97203,7474-N-Olin-Ave,"Residential, single family residence",Built in 1932,Forced air 90,Central air,1 Garage space,0,"5,227 sqft",$289 price/sqft,2% buyers agency fee,499000
Portland,OR,97212,2836-NE-30th-Ave,"Residential, single family residence",Built in 1928,"Forced air, fireplace(s)",Central air,1 Garage space,0,"5,227 sqft",$273 price/sqft,2.5% buyers agency fee,849000
Portland,OR,97211,3206-NE-Dekum-St,"Residential, single family residence",Built in 1922,Forced air,Central air,Open parking,0,"8,276 sqft",$212 price/sqft,2.5% buyers agency fee,495000
Portland,OR,97217,113-N-Hayden-Bay-Dr,"Residential, condominium",Built in 1983,"Forced air, fireplace(s)",Central air,1 Garage space,0,$511 monthly HOA fee,$326 price/sqft,2.5% buyers agency fee,360000
Portland,OR,97217,440-N-Tomahawk-Island-Dr,Residential,Built in 1961,"Baseboard, hot water, zoned",Window unit(s),"Off street, secured",$350 monthly HOA fee,"2,580 sqft",$225 price/sqft,2.5% buyers agency fee,395000
Portland,OR,97219,6705-SW-30th-Ave-APT-C,"Residential, condominium",Built in 1962,"Ceiling, wood stove, zoned, fireplace(s)",Window unit(s),Carport,0,$636 monthly HOA fee,$270 price/sqft,2.25% buyers agency fee,349000
Portland,OR,97202,5735-SE-Cesar-E-Chavez-Blvd,"Residential, single family residence",Built in 1952,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,No data,$153 price/sqft,2.25% buyers agency fee,639900
Portland,OR,97213,26-NE-44th-Ave,"Residential, single family residence",Built in 1940,"Forced air 95 plus, fireplace(s)",Central air,Open parking,0,"6,098 sqft",$334 price/sqft,2.5% buyers agency fee,875000
Portland,OR,97209,2046-NW-Flanders-St-APT-31,"Residential, condominium",Built in 1907,Zoned,No data,Open parking,0,$418 monthly HOA fee,$384 price/sqft,2.25% buyers agency fee,359100
Portland,OR,97214,915-SE-35th-Ave-APT-208,"Residential, condominium",Built in 2005,Radiant,None,1 Attached garage space,0,$700 monthly HOA fee,$374 price/sqft,2.5% buyers agency fee,510000
Portland,OR,97212,3835-NE-Cleveland-Ave,"Residential, single family residence",Built in 1890,Forced air,No data,No data,0,"4,791 sqft",$216 price/sqft,2.25% buyers agency fee,499500
Portland,OR,97202,3803-SE-Carlton-St,"Residential, single family residence",Built in 1931,"Forced air 95 plus, heat pump, fireplace(s)",Central air,2 Garage spaces,0,"7,840 sqft",$437 price/sqft,2% buyers agency fee,1599900
Portland,OR,97212,1914-NE-22nd-Ave,"Residential, single family residence",Built in 1911,"Forced air, hot water, radiant, fireplace(s)",Central air,Open parking,0,0.34 Acres,$292 price/sqft,2.25% buyers agency fee,2895000
Portland,OR,97239,5543-SW-Edgemont-Pl,"Residential, single family residence",Built in 1993,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,0.43 Acres,$294 price/sqft,2.5% buyers agency fee,1170000
